TERMINALE PRESENZE ZUCCHETTI - EXPORT SETTIMANALE;;;;;;;;;;;
stabilimento Cologna Veneta - dal 04/05/2026 al 10/05/2026;;;;;;;;;;;
codici maggiorazione: STR 30% diurno - NOTT 55% - FEST 65%;;;;;;;;;;;
;;;;;;;;;;;
Badge;Cognome Nome;Data;Giorno;Reparto;Turno;Timbratura IN;Timbratura OUT;Ore ord.;Ore straord.;Maggiorazione %;Note
0501;MAROBIN ANNA;05/05/2026;mar;CONFEZ.;T1;05:56;14:00;8,00;;;
0502;PERETTO CHIARA;05/05/2026;mar;CONFEZ.;T1;06:02;14:40;8,00;0,67;STR 30%;ingresso oltre tolleranza
0503;BA MAMADOU;05/05/2026;mar;CONFEZ.;T2;14:00;22:00;8,00;;;
0504;FRIGO LUCIA;05/05/2026;mar;CONFEZ.;T2;13:59;22:00;8,00;;;
0505;VISENTIN STEFANO;05/05/2026;mar;CONFEZ.;T2;13:58;22:00;8,00;;;
0601;FAGGIONATO NICOLA;05/05/2026;mar;MAGAZZ.;T1;05:59;14:45;8,00;0,75;STR 30%;
0602;SEGATO ALBERTO;05/05/2026;mar;MAGAZZ.;T1;05:56;14:00;8,00;;;
0603;PREDA RADU;05/05/2026;mar;MAGAZZ.;T2;13:57;22:20;8,00;0,33;STR 30%;
0604;MATTIELLO GIANLUCA;05/05/2026;mar;MAGAZZ.;T1;05:58;14:00;8,00;;;
0701;DAL MASO IVANO;05/05/2026;mar;MANUT.;T1;05:54;14:00;8,00;;;
0702;BISSOLI MIRCO;05/05/2026;mar;MANUT.;T3;22:04;07:00;8,00;1,00;NOTT 55%;ingresso oltre tolleranza
0201;POPESCU IONUT;06/05/2026;mer;LINEA 1;T2;13:57;22:00;8,00;;;
0202;ROSSIN DAVIDE;06/05/2026;mer;LINEA 1;T1;05:57;14:00;8,00;;;
0203;PERIN LUCA;06/05/2026;mer;LINEA 1;T1;05:54;14:00;8,00;;;
0204;OSEI SAMUEL;06/05/2026;mer;LINEA 1;T2;13:56;22:40;8,00;0,67;STR 30%;
0205;VASILESCU ANDREI;06/05/2026;mer;LINEA 1;T2;13:56;22:30;8,00;0,50;STR 30%;
0206;BOGONI MARTA;06/05/2026;mer;LINEA 1;T1;05:58;14:00;8,00;;;
0207;FURLAN ALESSANDRO;06/05/2026;mer;LINEA 1;T2;14:02;22:00;8,00;;;ingresso oltre tolleranza
0208;EL AMRANI HASSAN;06/05/2026;mer;LINEA 1;T1;05:56;14:00;8,00;;;
0209;PELOSO GIORGIO;06/05/2026;mer;LINEA 1;T3;21:58;06:30;8,00;0,50;NOTT 55%;
0210;MUNTEANU CRISTIAN;06/05/2026;mer;LINEA 1;T3;21:54;07:00;8,00;1,00;NOTT 55%;
0301;BEN SALAH ADEL;06/05/2026;mer;LINEA 2;T1;06:05;14:00;8,00;;;ingresso oltre tolleranza
0302;HOXHA FATJON;06/05/2026;mer;LINEA 2;T1;05:59;14:00;8,00;;;
0303;MANSOURI YOUSSEF;06/05/2026;mer;LINEA 2;T2;13:54;22:00;8,00;;;
0304;DAL BEN ELISA;06/05/2026;mer;LINEA 2;T1;05:54;14:00;8,00;;;
0305;CIOBANU MARIUS;06/05/2026;mer;LINEA 2;T2;14:05;22:00;8,00;;;ingresso oltre tolleranza
0306;BERTACCO PAOLO;06/05/2026;mer;LINEA 2;T1;05:59;14:00;8,00;;;
0307;REFOSCO SONIA;06/05/2026;mer;LINEA 2;T2;14:00;22:00;8,00;;;
0308;SOW IBRAHIM;06/05/2026;mer;LINEA 2;T2;14:01;22:00;8,00;;;
0309;GECCHELE NICOLO;06/05/2026;mer;LINEA 2;T1;05:59;14:00;8,00;;;
0310;LUPU VASILE;06/05/2026;mer;LINEA 2;T2;13:54;22:00;8,00;;;
0401;GUERRA ROBERTO;06/05/2026;mer;LINEA 3;T1;06:01;14:00;8,00;;;
0402;CORRADIN EMANUELE;06/05/2026;mer;LINEA 3;T1;;;;;;ASSENTE - infortunio 28/04 (pratica INAIL)
0403;ILIE PETRU;06/05/2026;mer;LINEA 3;T1;05:59;14:00;8,00;;;
0404;MIOTTO SARA;06/05/2026;mer;LINEA 3;T2;14:06;22:40;8,00;0,67;STR 30%;ingresso oltre tolleranza
0405;BOUZID KARIM;06/05/2026;mer;LINEA 3;T2;13:58;22:40;8,00;0,67;STR 30%;
0406;TADIELLO FEDERICO;06/05/2026;mer;LINEA 3;T1;06:00;14:00;8,00;;;
0407;MELNYK OLEG;06/05/2026;mer;LINEA 3;T2;14:05;22:20;8,00;0,33;STR 30%;ingresso oltre tolleranza
0408;SBALCHIERO DAMIANO;06/05/2026;mer;LINEA 3;T3;21:58;06:00;8,00;;NOTT 55%;
0501;MAROBIN ANNA;06/05/2026;mer;CONFEZ.;T1;05:59;14:00;8,00;;;
0502;PERETTO CHIARA;06/05/2026;mer;CONFEZ.;T1;05:54;;8,00;;;OUT MANCANTE - forzatura responsabile (verifica a posteriori)
0503;BA MAMADOU;06/05/2026;mer;CONFEZ.;T2;14:05;22:00;8,00;;;ingresso oltre tolleranza
0504;FRIGO LUCIA;06/05/2026;mer;CONFEZ.;T2;13:58;22:00;8,00;;;
0505;VISENTIN STEFANO;06/05/2026;mer;CONFEZ.;T2;13:56;22:00;8,00;;;
0601;FAGGIONATO NICOLA;06/05/2026;mer;MAGAZZ.;T1;05:58;14:00;8,00;;;
0602;SEGATO ALBERTO;06/05/2026;mer;MAGAZZ.;T1;06:00;14:40;8,00;0,67;STR 30%;
0603;PREDA RADU;06/05/2026;mer;MAGAZZ.;T2;13:58;22:00;8,00;;;ingresso oltre tolleranza
0604;MATTIELLO GIANLUCA;06/05/2026;mer;MAGAZZ.;T1;05:57;14:00;8,00;;;
0701;DAL MASO IVANO;06/05/2026;mer;MANUT.;T1;06:00;14:00;8,00;;;
0702;BISSOLI MIRCO;06/05/2026;mer;MANUT.;T3;;;;;;FERIE
0201;POPESCU IONUT;07/05/2026;gio;LINEA 1;T2;13:58;22:00;8,00;;;
0202;ROSSIN DAVIDE;07/05/2026;gio;LINEA 1;T1;05:54;14:45;8,00;0,75;STR 30%;
0203;PERIN LUCA;07/05/2026;gio;LINEA 1;T1;05:56;14:15;8,00;0,25;STR 30%;
0204;OSEI SAMUEL;07/05/2026;gio;LINEA 1;T2;13:56;23:00;8,00;1,00;STR 30%;
0205;VASILESCU ANDREI;07/05/2026;gio;LINEA 1;T2;13:56;22:00;8,00;;;
0206;BOGONI MARTA;07/05/2026;gio;LINEA 1;T1;05:54;14:20;8,00;0,33;STR 30%;
0207;FURLAN ALESSANDRO;07/05/2026;gio;LINEA 1;T2;14:00;22:00;8,00;;;
0208;EL AMRANI HASSAN;07/05/2026;gio;LINEA 1;T1;05:59;14:00;8,00;;;
0209;PELOSO GIORGIO;07/05/2026;gio;LINEA 1;T3;21:54;06:00;8,00;;NOTT 55%;
0210;MUNTEANU CRISTIAN;07/05/2026;gio;LINEA 1;T3;22:00;06:20;8,00;0,33;NOTT 55%;
0301;BEN SALAH ADEL;07/05/2026;gio;LINEA 2;T1;06:00;14:00;8,00;;;
0302;HOXHA FATJON;07/05/2026;gio;LINEA 2;T1;06:00;14:00;8,00;;;
0303;MANSOURI YOUSSEF;07/05/2026;gio;LINEA 2;T2;13:54;22:00;8,00;;;
0304;DAL BEN ELISA;07/05/2026;gio;LINEA 2;T1;05:57;14:00;8,00;;;
0305;CIOBANU MARIUS;07/05/2026;gio;LINEA 2;T2;13:58;22:00;8,00;;;
0306;BERTACCO PAOLO;07/05/2026;gio;LINEA 2;T1;06:03;14:45;8,00;0,75;STR 30%;ingresso oltre tolleranza
0307;REFOSCO SONIA;07/05/2026;gio;LINEA 2;T2;13:59;22:00;8,00;;;
0308;SOW IBRAHIM;07/05/2026;gio;LINEA 2;T2;14:02;22:30;8,00;0,50;STR 30%;
0309;GECCHELE NICOLO;07/05/2026;gio;LINEA 2;T1;05:59;15:00;8,00;1,00;STR 30%;
0310;LUPU VASILE;07/05/2026;gio;LINEA 2;T2;13:57;;8,00;;STR 30%;OUT MANCANTE - forzatura responsabile (verifica a posteriori)
0401;GUERRA ROBERTO;07/05/2026;gio;LINEA 3;T1;06:00;14:00;8,00;;;
0402;CORRADIN EMANUELE;07/05/2026;gio;LINEA 3;T1;;;;;;ASSENTE - infortunio 28/04 (pratica INAIL)
0403;ILIE PETRU;07/05/2026;gio;LINEA 3;T1;05:57;14:00;8,00;;;
0404;MIOTTO SARA;07/05/2026;gio;LINEA 3;T2;13:56;22:00;8,00;;;
0405;BOUZID KARIM;07/05/2026;gio;LINEA 3;T2;14:00;22:00;8,00;;;
0406;TADIELLO FEDERICO;07/05/2026;gio;LINEA 3;T1;05:59;14:00;8,00;;;
0407;MELNYK OLEG;07/05/2026;gio;LINEA 3;T2;13:59;22:00;8,00;;;
0408;SBALCHIERO DAMIANO;07/05/2026;gio;LINEA 3;T3;21:59;06:00;8,00;;NOTT 55%;
0501;MAROBIN ANNA;07/05/2026;gio;CONFEZ.;T1;05:56;14:45;8,00;0,75;STR 30%;
0502;PERETTO CHIARA;07/05/2026;gio;CONFEZ.;T1;05:54;14:00;8,00;;;
0503;BA MAMADOU;07/05/2026;gio;CONFEZ.;T2;13:56;22:00;8,00;;;
0504;FRIGO LUCIA;07/05/2026;gio;CONFEZ.;T2;13:56;22:00;8,00;;;
0505;VISENTIN STEFANO;07/05/2026;gio;CONFEZ.;T2;13:56;22:30;8,00;0,50;STR 30%;
0601;FAGGIONATO NICOLA;07/05/2026;gio;MAGAZZ.;T1;06:04;14:15;8,00;0,25;STR 30%;ingresso oltre tolleranza
0602;SEGATO ALBERTO;07/05/2026;gio;MAGAZZ.;T1;06:01;14:00;8,00;;;
0603;PREDA RADU;07/05/2026;gio;MAGAZZ.;T2;13:56;22:40;8,00;0,67;STR 30%;
0604;MATTIELLO GIANLUCA;07/05/2026;gio;MAGAZZ.;T1;05:59;14:00;8,00;;;
0701;DAL MASO IVANO;07/05/2026;gio;MANUT.;T1;05:59;14:45;8,00;0,75;STR 30%;
0702;BISSOLI MIRCO;07/05/2026;gio;MANUT.;T3;;;;;;FERIE
Badge;Cognome Nome;Data;Giorno;Reparto;Turno;Timbratura IN;Timbratura OUT;Ore ord.;Ore straord.;Maggiorazione %;Note
0201;POPESCU IONUT;08/05/2026;ven;LINEA 1;T2;14:00;22:00;8,00;;;
0202;ROSSIN DAVIDE;08/05/2026;ven;LINEA 1;T1;05:59;14:00;8,00;;;
0203;PERIN LUCA;08/05/2026;ven;LINEA 1;T1;05:54;14:00;8,00;;;
0204;OSEI SAMUEL;08/05/2026;ven;LINEA 1;T2;13:54;22:00;8,00;;;
0205;VASILESCU ANDREI;08/05/2026;ven;LINEA 1;T2;13:58;22:00;8,00;;;ingresso oltre tolleranza
0206;BOGONI MARTA;08/05/2026;ven;LINEA 1;T1;06:00;14:00;8,00;;;
0207;FURLAN ALESSANDRO;08/05/2026;ven;LINEA 1;T2;13:57;22:00;8,00;;;
0208;EL AMRANI HASSAN;08/05/2026;ven;LINEA 1;T1;06:00;14:40;8,00;0,67;STR 30%;
0209;PELOSO GIORGIO;08/05/2026;ven;LINEA 1;T3;21:58;06:00;8,00;;NOTT 55%;
0210;MUNTEANU CRISTIAN;08/05/2026;ven;LINEA 1;T3;21:59;06:00;8,00;;NOTT 55%;
0301;BEN SALAH ADEL;08/05/2026;ven;LINEA 2;T1;05:58;14:00;8,00;;;
0302;HOXHA FATJON;08/05/2026;ven;LINEA 2;T1;06:05;;8,00;;STR 30%;OUT MANCANTE - forzatura responsabile (verifica a posteriori)
0303;MANSOURI YOUSSEF;08/05/2026;ven;LINEA 2;T2;13:57;22:00;8,00;;;
0304;DAL BEN ELISA;08/05/2026;ven;LINEA 2;T1;05:56;14:00;8,00;;;
0305;CIOBANU MARIUS;08/05/2026;ven;LINEA 2;T2;13:59;22:00;8,00;;;
0306;BERTACCO PAOLO;08/05/2026;ven;LINEA 2;T1;05:54;14:20;8,00;0,33;STR 30%;
0307;REFOSCO SONIA;08/05/2026;ven;LINEA 2;T2;13:56;22:00;8,00;;;
0308;SOW IBRAHIM;08/05/2026;ven;LINEA 2;T2;13:54;22:45;8,00;0,75;STR 30%;
0309;GECCHELE NICOLO;08/05/2026;ven;LINEA 2;T1;06:02;14:00;8,00;;;
0310;LUPU VASILE;08/05/2026;ven;LINEA 2;T2;14:08;22:15;8,00;0,25;STR 30%;ingresso oltre tolleranza
0401;GUERRA ROBERTO;08/05/2026;ven;LINEA 3;T1;05:58;15:00;8,00;1,00;STR 30%;
0402;CORRADIN EMANUELE;08/05/2026;ven;LINEA 3;T1;;;;;;ASSENTE - infortunio 28/04 (pratica INAIL)
0403;ILIE PETRU;08/05/2026;ven;LINEA 3;T1;05:54;14:15;8,00;0,25;STR 30%;
0404;MIOTTO SARA;08/05/2026;ven;LINEA 3;T2;14:04;22:30;8,00;0,50;STR 30%;ingresso oltre tolleranza
0405;BOUZID KARIM;08/05/2026;ven;LINEA 3;T2;14:01;22:00;8,00;;;
0406;TADIELLO FEDERICO;08/05/2026;ven;LINEA 3;T1;05:54;14:00;8,00;;;
0407;MELNYK OLEG;08/05/2026;ven;LINEA 3;T2;13:56;22:00;8,00;;;
0408;SBALCHIERO DAMIANO;08/05/2026;ven;LINEA 3;T3;21:58;06:30;8,00;0,50;NOTT 55%;
0501;MAROBIN ANNA;08/05/2026;ven;CONFEZ.;T1;05:58;14:00;8,00;;;
0502;PERETTO CHIARA;08/05/2026;ven;CONFEZ.;T1;05:59;14:00;8,00;;;
0503;BA MAMADOU;08/05/2026;ven;CONFEZ.;T2;13:58;22:00;8,00;;;
0504;FRIGO LUCIA;08/05/2026;ven;CONFEZ.;T2;14:00;22:00;8,00;;;
0505;VISENTIN STEFANO;08/05/2026;ven;CONFEZ.;T2;13:54;22:45;8,00;0,75;STR 30%;
0601;FAGGIONATO NICOLA;08/05/2026;ven;MAGAZZ.;T1;06:00;15:00;8,00;1,00;STR 30%;
0602;SEGATO ALBERTO;08/05/2026;ven;MAGAZZ.;T1;05:58;14:00;8,00;;;
0603;PREDA RADU;08/05/2026;ven;MAGAZZ.;T2;13:56;22:00;8,00;;;
0604;MATTIELLO GIANLUCA;08/05/2026;ven;MAGAZZ.;T1;05:59;14:00;8,00;;;
0701;DAL MASO IVANO;08/05/2026;ven;MANUT.;T1;05:57;14:30;8,00;0,50;STR 30%;
0702;BISSOLI MIRCO;08/05/2026;ven;MANUT.;T3;21:58;06:00;8,00;;NOTT 55%;
0202;ROSSIN DAVIDE;09/05/2026;sab;LINEA 1;T1;05:58;14:00;8,00;;;
0203;PERIN LUCA;09/05/2026;sab;LINEA 1;T1;05:54;14:00;8,00;;;
0204;OSEI SAMUEL;09/05/2026;sab;LINEA 1;T2;13:54;22:20;8,00;0,33;STR 30%;
0206;BOGONI MARTA;09/05/2026;sab;LINEA 1;T1;05:57;14:00;8,00;;;
0403;ILIE PETRU;09/05/2026;sab;LINEA 3;T1;05:57;15:00;8,00;1,00;STR 30%;
0404;MIOTTO SARA;09/05/2026;sab;LINEA 3;T2;14:00;22:00;8,00;;;
0406;TADIELLO FEDERICO;09/05/2026;sab;LINEA 3;T1;06:00;14:40;8,00;0,67;STR 30%;
0408;SBALCHIERO DAMIANO;09/05/2026;sab;LINEA 3;T3;21:57;06:00;8,00;;NOTT 55%;
0501;MAROBIN ANNA;09/05/2026;sab;CONFEZ.;T1;06:00;14:00;8,00;;;
0502;PERETTO CHIARA;09/05/2026;sab;CONFEZ.;T1;05:59;14:00;8,00;;;
0602;SEGATO ALBERTO;09/05/2026;sab;MAGAZZ.;T1;05:56;14:00;8,00;;;
0604;MATTIELLO GIANLUCA;09/05/2026;sab;MAGAZZ.;T1;05:57;14:00;8,00;;;
0201;POPESCU IONUT;10/05/2026;dom;LINEA 1;T2;13:59;23:40;8,00;1,67;FEST 65%;uscita ritardata - fermo confezionatrice PKM-450
0205;VASILESCU ANDREI;10/05/2026;dom;LINEA 1;T2;13:58;22:20;8,00;0,33;FEST 65%;
0207;FURLAN ALESSANDRO;10/05/2026;dom;LINEA 1;T2;14:02;22:00;8,00;;FEST 65%;
0208;EL AMRANI HASSAN;10/05/2026;dom;LINEA 1;T1;05:59;14:20;8,00;0,33;FEST 65%;
0209;PELOSO GIORGIO;10/05/2026;dom;LINEA 1;T3;21:58;06:00;8,00;;FEST 65%;
0210;MUNTEANU CRISTIAN;10/05/2026;dom;LINEA 1;T3;21:54;06:00;8,00;;FEST 65%;
0301;BEN SALAH ADEL;10/05/2026;dom;LINEA 2;T1;06:00;14:00;8,00;;FEST 65%;
0302;HOXHA FATJON;10/05/2026;dom;LINEA 2;T1;05:56;14:45;8,00;0,75;FEST 65%;
0303;MANSOURI YOUSSEF;10/05/2026;dom;LINEA 2;T2;13:58;22:00;8,00;;FEST 65%;
0304;DAL BEN ELISA;10/05/2026;dom;LINEA 2;T1;06:05;14:00;8,00;;FEST 65%;ingresso oltre tolleranza
0305;CIOBANU MARIUS;10/05/2026;dom;LINEA 2;T2;13:56;22:45;8,00;0,75;FEST 65%;
0306;BERTACCO PAOLO;10/05/2026;dom;LINEA 2;T1;05:58;14:45;8,00;0,75;FEST 65%;ingresso oltre tolleranza
0307;REFOSCO SONIA;10/05/2026;dom;LINEA 2;T2;13:59;22:30;8,00;0,50;FEST 65%;
0308;SOW IBRAHIM;10/05/2026;dom;LINEA 2;T2;13:59;22:30;8,00;0,50;FEST 65%;
0309;GECCHELE NICOLO;10/05/2026;dom;LINEA 2;T1;05:59;14:30;8,00;0,50;FEST 65%;
0310;LUPU VASILE;10/05/2026;dom;LINEA 2;T2;14:00;22:00;8,00;;FEST 65%;
0503;BA MAMADOU;10/05/2026;dom;CONFEZ.;T2;13:57;22:20;8,00;0,33;FEST 65%;
0504;FRIGO LUCIA;10/05/2026;dom;CONFEZ.;T2;13:56;22:20;8,00;0,33;FEST 65%;
0505;VISENTIN STEFANO;10/05/2026;dom;CONFEZ.;T2;13:59;22:00;8,00;;FEST 65%;
0601;FAGGIONATO NICOLA;10/05/2026;dom;MAGAZZ.;T1;06:02;14:20;8,00;0,33;FEST 65%;ingresso oltre tolleranza
0603;PREDA RADU;10/05/2026;dom;MAGAZZ.;T2;14:00;22:00;8,00;;FEST 65%;
0701;DAL MASO IVANO;10/05/2026;dom;MANUT.;T1;15:05;18:50;;3,75;FEST 65%;chiamata emergenza - valvola azoto
;;;;;;;;;;;
TOTALE ORE ORDINARIE SETTIMANA;;;;;;;;1768,00;;;
TOTALE ORE STRAORDINARIE;;;;;;;;;44,50;;
di cui festive (domenica 10/05);;;;;;;;;10,82;FEST 65%;
;;;;;;;;;;;
(Sartori) la società ha chiesto la domenica 10/05 ha lavorato la Linea 2 al completo piu' i supporti.;;;;;;;;;;;
(Sartori) Dal Maso e' entrato in emergenza, ore a parte.;;;;;;;;;;;
(Sartori) chi ha fatto il sabato NON ha fatto la domenica: il riposo va garantito.;;;;;;;;;;;
